County Name,Median Home Price Q2 2017,Monthly Payment (r=4.5%),Monthly Payment (r=5.0%),Monthly Payment (r=5.5%)
Delta County,"230,295","1,050","1,113","1,177"
Denver County,"440,108","2,007","2,126","2,249"
Dolores County,"136,256",621,658,696
Douglas County,"522,315","2,382","2,524","2,669"
Eagle County,"526,150","2,399","2,542","2,689"
Elbert County,"423,288","1,930","2,045","2,163"
El Paso County,"307,975","1,404","1,488","1,574"
Fremont County,"178,697",815,863,913
Garfield County,"361,637","1,649","1,747","1,848"
Gilpin County,"336,068","1,533","1,624","1,717"
Grand County,"318,303","1,452","1,538","1,627"
Gunnison County,"350,580","1,599","1,694","1,792"
Hinsdale County,"363,424","1,657","1,756","1,857"
Huerfano County,"153,456",700,741,784
Jackson County,"191,317",872,924,978
Jefferson County,"454,589","2,073","2,196","2,323"
Kiowa County,"92,922",424,449,475
Kit Carson County,"145,414",663,703,743
Lake County,"220,690","1,006","1,066","1,128"
La Plata County,"398,382","1,817","1,925","2,036"
Larimer County,"397,354","1,812","1,920","2,031"
Las Animas County,"162,949",743,787,833
Lincoln County,"147,536",673,713,754
Logan County,"166,076",757,802,849
Mesa County,"252,653","1,152","1,221","1,291"
Colorado California,,,,
Mineral County,"311,602","1,421","1,505","1,592"
Moffat County,"188,972",862,913,966
Montezuma County,"221,025","1,008","1,068","1,129"
Montrose County,"226,163","1,031","1,093","1,156"
Morgan County,"181,935",830,879,930
Otero County,"102,527",468,495,524
Ouray County,"469,749","2,142","2,270","2,400"
Park County,"292,180","1,332","1,412","1,493"
Phillips County,"148,095",675,716,757
Pitkin County,"662,964","3,023","3,203","3,388"
Prowers County,"105,431",481,509,539
Pueblo County,"187,518",855,906,958
Rio Blanco County,"224,488","1,024","1,085","1,147"
Rio Grande County,"159,710",728,772,816
Routt County,"514,423","2,346","2,485","2,629"
Saguache County,"167,640",764,810,857
San Juan County,"300,880","1,372","1,454","1,538"
San Miguel County,"541,674","2,470","2,617","2,768"
Sedgwick County,"102,192",466,494,522
Summit County,"611,701","2,789","2,955","3,126"
Teller County,"295,633","1,348","1,428","1,511"
Washington County,"134,358",613,649,687
Weld County,"333,103","1,519","1,609","1,702"
Yuma County,"166,188",758,803,849
Fairfield County,"435,477","1,986","2,104","2,225"
Hartford County,"248,011","1,131","1,198","1,267"
Litchfield County,"267,324","1,219","1,292","1,366"
Middlesex County,"289,380","1,320","1,398","1,479"
New Haven County,"251,601","1,147","1,216","1,286"
New London County,"242,504","1,106","1,172","1,239"
Tolland County,"250,686","1,143","1,211","1,281"
Windham County,"203,646",929,984,"1,041"
Kent County,"230,026","1,049","1,111","1,175"
New Castle County,"276,686","1,262","1,337","1,414"
District of,,,,
Columbia,,,,
District of Columbia,"644,349",,,
,"2,938","3,113","3,293",
Alachua County,"186,443",850,901,953
Baker County,"134,667",614,651,688
Bay County,"195,367",891,944,998
Bradford County,"97,983",447,473,501
Brevard County,"213,006",971,"1,029","1,088"
Broward County,"287,165","1,310","1,387","1,467"
Calhoun County,"86,614",395,418,443
Charlotte County,"210,926",962,"1,019","1,078"
Citrus County,"139,558",636,674,713
Clay County,"197,607",901,955,"1,010"
Collier County,"384,575","1,754","1,858","1,965"
Colorado Connecticut,,,,
Delaware Florida,,,,
Columbia County,"157,530",718,761,805
DeSoto County,"90,620",413,438,463
Dixie County,"77,520",354,375,396
Duval County,"206,726",943,999,"1,056"
Escambia County,"158,976",725,768,812
Franklin County,"146,487",668,708,749
Gadsden County,"109,867",501,531,561
Gilchrist County,"104,516",477,505,534
Glades County,"86,723",395,419,443
Gulf County,"163,918",747,792,838
Hamilton County,"79,577",363,384,407
Hardee County,"87,914",401,425,449
Hendry County,"86,290",393,417,441
Hernando County,"160,168",730,774,818
Highlands County,"108,485",495,524,554
Hillsborough County,"239,746","1,093","1,158","1,225"
Holmes County,"100,040",456,483,511
Indian River County,"215,361",982,"1,040","1,101"
Jackson County,"102,746",469,496,525
Jefferson County,"142,838",651,690,730
Lafayette County,"109,784",501,530,561
Lake County,"206,194",940,996,"1,054"
Lee County,"240,634","1,097","1,163","1,230"
Leon County,"218,325",996,"1,055","1,116"
Levy County,"96,034",438,464,491
Liberty County,"67,559",308,326,345
Madison County,"94,410",431,456,482
Manatee County,"254,020","1,158","1,227","1,298"
Marion County,"151,718",692,733,775
Martin County,"313,672","1,430","1,515","1,603"
Miami-Dade County,"317,347","1,447","1,533","1,622"
Monroe County,"556,173","2,536","2,687","2,842"
Nassau County,"260,215","1,187","1,257","1,330"
Okaloosa County,"225,885","1,030","1,091","1,154"
Okeechobee County,"97,333",444,470,497
Orange County,"260,971","1,190","1,261","1,334"
Osceola County,"220,334","1,005","1,065","1,126"
Palm Beach County,"311,619","1,421","1,506","1,592"
Pasco County,"181,269",827,876,926
Pinellas County,"221,451","1,010","1,070","1,132"
Polk County,"170,718",779,825,872
Putnam County,"93,760",428,453,479
St. Johns County,"330,940","1,509","1,599","1,691"
St. Lucie County,"200,737",915,970,"1,026"
Santa Rosa County,"213,110",972,"1,030","1,089"
Sarasota County,"274,763","1,253","1,327","1,404"
Seminole County,"263,198","1,200","1,272","1,345"
Florida,,,,
Sumter County,"280,414","1,279","1,355","1,433"
Suwannee County,"100,040",456,483,511
Taylor County,"91,920",419,444,470
Union County,"96,359",439,466,492
Volusia County,"192,140",876,928,982
Wakulla County,"145,007",661,701,741
Walton County,"246,743","1,125","1,192","1,261"
Washington County,"111,191",507,537,568
Appling County,"76,742",350,371,392
Atkinson County,"66,524",303,321,340
Bacon County,"77,912",355,376,398
Baker County,"79,120",361,382,404
Baldwin County,"115,804",528,559,592
Banks County,"137,198",626,663,701
Barrow County,"175,234",799,847,895
Bartow County,"185,317",845,895,947
Ben Hill County,"86,427",394,418,442
Berrien County,"92,281",421,446,472
Bibb County,"124,269",567,600,635
Bleckley County,"105,160",480,508,537
Brantley County,"73,725",336,356,377
Brooks County,"95,123",434,460,486
Bryan County,"216,891",989,"1,048","1,108"
Bulloch County,"144,117",657,696,736
Burke County,"92,306",421,446,472
Butts County,"136,131",621,658,696
Calhoun County,"52,154",238,252,267
Camden County,"164,446",750,795,840
Candler County,"94,304",430,456,482
Carroll County,"148,792",679,719,760
Catoosa County,"148,503",677,717,759
Charlton County,"87,492",399,423,447
Chatham County,"206,998",944,"1,000","1,058"
Chattahoochee County,"85,366",389,412,436
Chattooga County,"72,910",332,352,373
Cherokee County,"281,337","1,283","1,359","1,438"
Clarke County,"189,477",864,915,968
Clay County,"63,756",291,308,326
Clayton County,"115,963",529,560,593
Clinch County,"67,162",306,324,343
Cobb County,"284,923","1,299","1,377","1,456"
Coffee County,"93,239",425,450,476
Colquitt County,"89,940",410,435,460
Columbia County,"214,491",978,"1,036","1,096"
Cook County,"93,452",426,452,478
Coweta County,"239,546","1,092","1,157","1,224"
Crawford County,"98,759",450,477,505
Georgia Florida,,,,
Crisp County,"89,301",407,431,456
Dade County,"131,919",602,637,674
Dawson County,"226,661","1,034","1,095","1,158"
Decatur County,"116,869",533,565,597
DeKalb County,"223,860","1,021","1,082","1,144"
Dodge County,"78,125",356,377,399
Dooly County,"88,556",404,428,453
Dougherty County,"100,916",460,488,516
Douglas County,"180,724",824,873,924
Early County,"88,024",401,425,450
Echols County,"58,680",268,284,300
Effingham County,"167,212",763,808,854
Elbert County,"87,066",397,421,445
Emanuel County,"83,554",381,404,427
Evans County,"88,982",406,430,455
Fannin County,"182,541",832,882,933
Fayette County,"314,390","1,434","1,519","1,607"
Floyd County,"145,615",664,704,744
Forsyth County,"391,587","1,786","1,892","2,001"
Franklin County,"108,141",493,522,553
Fulton County,"343,072","1,564","1,658","1,753"
Gilmer County,"172,855",788,835,883
Glascock County,"70,887",323,342,362
Glynn County,"184,528",841,892,943
Gordon County,"127,193",580,615,650
Grady County,"117,614",536,568,601
Greene County,"187,117",853,904,956
Gwinnett County,"246,492","1,124","1,191","1,260"
Habersham County,"146,032",666,706,746
Hall County,"212,437",969,"1,026","1,086"
Hancock County,"70,355",321,340,360
Haralson County,"131,089",598,633,670
Harris County,"203,541",928,983,"1,040"
Hart County,"139,646",637,675,714
Heard County,"112,602",513,544,575
Henry County,"190,023",867,918,971
Houston County,"135,862",620,656,694
Irwin County,"86,427",394,418,442
Jackson County,"198,506",905,959,"1,014"
Jasper County,"134,114",612,648,685
Jeff Davis County,"82,915",378,401,424
Jefferson County,"73,655",336,356,376
